latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
22.423,97.104,331.9,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,303.6,0
19.012,99.925,332.7,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,306.2,0
20.187,96.829,331.2,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,304.6,0
20.017,95.828,341.2,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,311.5,0
22.455,97.281,332.9,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,304.9,0
23.085,94.613,337.2,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,307.3,0
23.083,94.604,335.2,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,306.3,0
14.89,101.208,337.3,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,307.4,0
17.892,98.352,334.3,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,305.4,0
23.295,95.804,336.5,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,307,0
18.837,98.771,337.3,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,309.6,0
23.089,94.612,334.2,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,305.1,0
22.33,96.447,330.9,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,305.5,0
23.084,94.565,333.6,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,304.3,0
22.467,97.275,335,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,305.2,0
17.831,97.971,341.2,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,301.2,0
21.916,94.032,337.2,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,309.4,0
22.536,97.688,337.5,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,307.8,0
20.334,97.693,336.5,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,310.5,0
23.099,94.628,332,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,306.9,0
18.834,98.749,334.5,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,306.8,0
18.692,97.844,330.9,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,302.7,0
20.035,95.824,339.4,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,311.3,0
12.004,105.88,338.2,0.4,0.4,2016-03-27,06:30,N,low,1.0NRT,308.2,0
23.419,96.472,332.3,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,302.7,0
19.091,100.442,330.5,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,300.6,0
23.139,94.812,334.8,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,305.1,0
22.431,97.004,330.4,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,303.9,0
21.973,94.308,332.2,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,302.9,0
21.971,94.298,330.3,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,304.5,0
23.123,94.699,332.3,0.5,0.4,2016-03-27,06:35,N,low,1.0NRT,304.9,0
12.668,105.683,338.9,0.4,0.4,2016-03-27,06:30,N,low,1.0NRT,308.9,0
20.336,97.577,337.7,0.4,0.4,2016-03-27,06:35,N,low,1.0NRT,308.9,0
