latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-8.399,123.822,314.6,2.8,1.6,2016-09-16,02:40,T,0,5.0       ,296.4,51.2
-8.378,123.187,315.1,2.5,1.5,2016-09-16,02:40,T,24,5.0       ,296.1,37.8
-8.381,123.21,317.8,2.5,1.5,2016-09-16,02:40,T,0,5.0       ,296.7,46.3
-8.509,122.803,318.8,2.3,1.5,2016-09-16,02:40,T,40,5.0       ,297.8,43.9
-8.838,125.217,313.9,3.7,1.8,2016-09-16,02:40,T,46,5.0       ,294.2,40.8
-8.646,122.255,319,2.1,1.4,2016-09-16,02:40,T,44,5.0       ,296.3,34.3
-8.648,122.275,318,2.1,1.4,2016-09-16,02:40,T,44,5.0       ,296.3,33.3
-8.11,118.066,318.5,1.1,1,2016-09-16,02:40,T,53,5.0       ,300.5,13.7
-8.112,118.076,317.3,1.1,1,2016-09-16,02:40,T,0,5.0       ,300.1,11.2
-8.149,118.132,324.1,1.1,1.1,2016-09-16,02:40,T,38,5.0       ,301.5,15.8
-8.882,120.727,318,1.6,1.3,2016-09-16,02:40,T,0,5.0       ,297.6,22.9
-9.475,119.061,321.3,1.3,1.1,2016-09-16,02:40,T,44,5.0       ,298.6,13.3
-9.737,120.537,326.1,1.6,1.3,2016-09-16,02:40,T,77,5.0       ,298.4,22.4
4.819,101.084,311.6,2.4,1.5,2016-09-16,04:15,T,42,5.0       ,293.9,31.5
3.437,102.238,320,3.2,1.7,2016-09-16,04:15,T,72,5.0       ,287.9,90.4
3.439,102.231,317.4,3.2,1.7,2016-09-16,04:15,T,68,5.0       ,287.5,78.5
3.435,102.259,312,3.2,1.7,2016-09-16,04:15,T,52,5.0       ,285.3,45.5
1.746,101.152,318.7,2.8,1.6,2016-09-16,04:15,T,66,5.0       ,296,64
1.299,100.658,317.7,2.6,1.6,2016-09-16,04:15,T,34,5.0       ,296.7,40.1
27.65,94.91,314.7,1.4,1.2,2016-09-16,04:10,T,54,5.0       ,294.1,15.2
25.028,98.429,317.2,1,1,2016-09-16,04:10,T,39,5.0       ,302.1,10.6
24.808,98.298,316.9,1,1,2016-09-16,04:10,T,34,5.0       ,300.9,10.5
23.897,99.688,313.6,1,1,2016-09-16,04:10,T,50,5.0       ,298.2,9.6
23.535,99.403,316.7,1,1,2016-09-16,04:10,T,55,5.0       ,299.9,10.5
21.627,108.285,314.3,4,1.9,2016-09-16,04:10,T,53,5.0       ,291.3,78.3
21.622,108.277,312.9,4,1.9,2016-09-16,04:10,T,0,5.0       ,291.1,70.6
22.556,99.932,317.4,1.1,1,2016-09-16,04:10,T,33,5.0       ,300.4,12
22.178,99.166,316.2,1,1,2016-09-16,04:10,T,33,5.0       ,300,11
22.176,99.176,315.5,1,1,2016-09-16,04:10,T,46,5.0       ,299.4,10.5
21.667,100.011,315.1,1.1,1.1,2016-09-16,04:10,T,38,5.0       ,299,12.7
15.75,99.794,313.1,1.3,1.1,2016-09-16,04:10,T,57,5.0       ,295.5,10.5
13.762,100.788,315.2,1.6,1.2,2016-09-16,04:10,T,47,5.0       ,293.3,16.4
13.086,100.905,321.7,1.7,1.3,2016-09-16,04:10,T,25,5.0       ,296.3,21.1
-0.66,110.346,328.7,4.2,1.9,2016-09-16,05:35,A,82,5.0       ,289.5,208
-0.632,110.304,321.3,4.2,1.9,2016-09-16,05:35,A,74,5.0       ,290.2,139.9
1.04,120.822,314,1,1,2016-09-16,05:35,A,42,5.0       ,291.2,8.5
0.366,116.016,336,1.5,1.2,2016-09-16,05:35,A,87,5.0       ,292.3,67.9
0.36,116.024,318,1.5,1.2,2016-09-16,05:35,A,69,5.0       ,292.8,23.5
0.371,116.023,315.1,1.5,1.2,2016-09-16,05:35,A,34,5.0       ,292.6,18
1.922,117.181,323.5,1.2,1.1,2016-09-16,05:35,A,75,5.0       ,294.3,28
2.307,117.025,312.9,1.2,1.1,2016-09-16,05:35,A,56,5.0       ,294.9,9.4
2.646,117.591,315,1.1,1,2016-09-16,05:35,A,47,5.0       ,293.7,10.8
2.648,117.541,317,1.1,1.1,2016-09-16,05:35,A,48,5.0       ,291,12
2.699,117.693,320,1.1,1,2016-09-16,05:35,A,40,5.0       ,293.9,13.9
2.73,117.267,357,1.1,1.1,2016-09-16,05:35,A,98,5.0       ,297.4,94.3
2.52,115.817,334.3,1.4,1.2,2016-09-16,05:35,A,86,5.0       ,289.3,62.9
2.518,115.805,326.1,1.4,1.2,2016-09-16,05:35,A,79,5.0       ,287.8,44.2
2.529,115.803,315.2,1.4,1.2,2016-09-16,05:35,A,63,5.0       ,285.6,24.5
2.68,116.777,321.1,1.2,1.1,2016-09-16,05:35,A,29,5.0       ,295.8,17.8
2.552,115.705,325.4,1.4,1.2,2016-09-16,05:35,A,77,5.0       ,287.7,47.3
2.775,117.15,314.2,1.2,1.1,2016-09-16,05:35,A,56,5.0       ,295.2,10.3
2.884,117.263,325.1,1.1,1.1,2016-09-16,05:35,A,67,5.0       ,296.7,23.5
2.845,116.996,324.9,1.2,1.1,2016-09-16,05:35,A,78,5.0       ,295.6,27.2
2.9,117.24,319.9,1.1,1.1,2016-09-16,05:35,A,72,5.0       ,296.5,17.9
2.858,116.951,321.8,1.2,1.1,2016-09-16,05:35,A,74,5.0       ,297,21.6
2.876,116.938,318.8,1.2,1.1,2016-09-16,05:35,A,70,5.0       ,296.2,17.1
2.918,117.164,326.3,1.1,1.1,2016-09-16,05:35,A,79,5.0       ,295,29.1
2.917,117.154,327.6,1.2,1.1,2016-09-16,05:35,A,81,5.0       ,292.7,31.9
2.998,117.22,320.9,1.1,1.1,2016-09-16,05:35,A,65,5.0       ,298.8,15.8
3.043,116.465,312.5,1.3,1.1,2016-09-16,05:35,A,34,5.0       ,296.4,9.2
3.064,116.473,317.9,1.2,1.1,2016-09-16,05:35,A,55,5.0       ,296.8,15
3.185,116.46,323.1,1.2,1.1,2016-09-16,05:35,A,69,5.0       ,296,23.9
3.186,116.466,323.1,1.2,1.1,2016-09-16,05:35,A,71,5.0       ,295.7,24.3
3.255,116.523,312,1.2,1.1,2016-09-16,05:35,A,52,5.0       ,295.8,9
2.641,111.953,313.7,2.8,1.6,2016-09-16,05:35,A,48,5.0       ,294.3,38.4
3.436,116.639,341,1.2,1.1,2016-09-16,05:35,A,85,5.0       ,295.8,60.7
3.489,116.57,312.4,1.2,1.1,2016-09-16,05:35,A,54,5.0       ,295.5,9
3.615,117.159,315,1.1,1.1,2016-09-16,05:35,A,47,5.0       ,295.7,10.1
3.561,116.788,329.2,1.2,1.1,2016-09-16,05:35,A,71,5.0       ,294.3,33.2
3.589,116.848,314.7,1.2,1.1,2016-09-16,05:35,A,36,5.0       ,294.9,9.5
2.967,112.527,314.3,2.4,1.5,2016-09-16,05:35,A,59,5.0       ,294.2,35.1
3.626,116.943,314.5,1.2,1.1,2016-09-16,05:35,A,0,5.0       ,295.2,9.4
3.6,116.701,321,1.2,1.1,2016-09-16,05:35,A,30,5.0       ,294.8,17.9
2.964,112.544,313.7,2.4,1.5,2016-09-16,05:35,A,59,5.0       ,293.6,32
2.961,112.522,312.9,2.4,1.5,2016-09-16,05:35,A,40,5.0       ,293.7,28.4
3.809,116.183,321.4,1.3,1.1,2016-09-16,05:35,A,74,5.0       ,294.4,26.1
3.755,114.844,310.7,1.6,1.2,2016-09-16,05:35,A,42,5.0       ,291,15
4.228,113.934,313.4,1.8,1.3,2016-09-16,05:35,A,50,5.0       ,285,24.5
4.511,114.906,316.6,1.5,1.2,2016-09-16,05:35,A,66,5.0       ,287,25.9
15.267,108.38,311.1,3,1.7,2016-09-16,05:35,A,47,5.0       ,291.3,49.5
15.446,108.183,333.5,3.1,1.7,2016-09-16,05:35,A,85,5.0       ,292.8,191.2
15.444,108.179,335.7,3.1,1.7,2016-09-16,05:35,A,87,5.0       ,292.8,210.3
16.595,107.203,313.5,3.5,1.8,2016-09-16,05:35,A,50,5.0       ,291.1,64.5
22.3,113.923,311.4,3.1,1.7,2016-09-16,02:30,T,0,5.0       ,292.8,37.6
8.584,123.345,315.2,1.4,1.2,2016-09-16,02:35,T,0,5.0       ,292.4,14.4
5.025,118.3,319.5,1,1,2016-09-16,02:35,T,43,5.0       ,299.5,9.5
2.642,112.5,314.9,2,1.4,2016-09-16,02:35,T,48,5.0       ,291.8,25.5
2.599,111.779,313.9,2.3,1.5,2016-09-16,02:35,T,37,5.0       ,290.7,30.2
2.602,111.774,312.2,2.3,1.5,2016-09-16,02:35,T,52,5.0       ,291,27
2.599,111.794,311.4,2.3,1.5,2016-09-16,02:35,T,49,5.0       ,289.1,24.7
2.397,111.648,314.8,2.3,1.5,2016-09-16,02:35,T,53,5.0       ,294.6,28.2
2.305,111.837,314.7,2.3,1.5,2016-09-16,02:35,T,21,5.0       ,293.1,23.4
0.653,117.455,317,1,1,2016-09-16,02:35,T,33,5.0       ,295.3,8.4
